surface,molecule,functional,mode,old_E_ads,new_E_ads,reason
Ag100,CO2,pbe,relaxed,-1.18,-1.18410534,Perlmutter first
Ag100,ethane,pbe,relaxed,-1.18,-1.18157818,Perlmutter first
Ag100,ethane,pbe,SPE,-0.020,-1.17946449,Perlmutter first
Ag100,ethane,pbe_d3,relaxed,-1.48,-1.47784408,Perlmutter first
Ag100,ethane,pbe_d3,SPE,-0.022,-1.22422478,Perlmutter first
Ag100,ethane,r2scan,SPE,0.136,-1.95436786,Perlmutter first
Ag100,ethanol,pbe,relaxed,-1.31,-1.31223554,Perlmutter first
Ag100,ethanol,pbe,SPE,-0.149,-1.30847263,Perlmutter first
Ag100,ethanol,pbe_d3,relaxed,-1.66,-1.66487417,Perlmutter first
Ag100,ethanol,pbe_d3,SPE,-0.237,-1.44147462,Perlmutter first
Ag100,ethanol,r2scan,SPE,-0.085,-2.17166801,Perlmutter first
Ag110,ethanol,pbe,relaxed,-1.30,-1.29541367,Perlmutter first
Ag110,ethanol,pbe,SPE,-0.225,-1.28814877,Perlmutter first
Ag110,ethanol,pbe_d3,relaxed,-1.67,-1.66568144,Perlmutter first
Ag110,ethanol,pbe_d3,SPE,-0.474,-1.55563474,Perlmutter first
Ag111,CH3,pbe,relaxed,-1.48,-1.47540373,Perlmutter first
Ag111,CH3,pbe_d3,relaxed,-1.73,-1.72571525,Perlmutter first
Ag111,CO,pbe,relaxed,-0.59,-0.59056204,Perlmutter first
Ag111,CO,pbe_d3,relaxed,-0.83,-0.83353808,Perlmutter first
Ag111,DME,r2scan,relaxed,-1.32,-1.31524853,Perlmutter first
Ag111,H2O,pbe,relaxed,-0.80,-0.79789344,Perlmutter first
Ag111,H2O,pbe_d3,relaxed,-1.01,-1.01288378,Perlmutter first
Ag111,H2S,pbe,relaxed,-0.80,-0.79729105,Perlmutter first
Ag111,H2S,pbe_d3,relaxed,-1.14,-1.14201256,Perlmutter first
Ag111,N2,pbe,relaxed,-0.70,-0.69778849,Perlmutter first
Ag111,N2,pbe_d3,relaxed,-0.78,-0.78419970,Perlmutter first
Ag111,NH3,pbe,relaxed,-0.97,-0.96918123,Perlmutter first
Ag111,NH3,pbe_d3,relaxed,-1.23,-1.23216760,Perlmutter first
Ag111,NO,pbe,relaxed,-1.24,-1.23840377,Perlmutter first
Ag111,SO2,pbe,relaxed,-0.77,-0.77070453,Perlmutter first
Ag111,SO2,pbe_d3,relaxed,-1.22,-1.21865452,Perlmutter first
Ag111,acetaldehyde,pbe,relaxed,-0.72,-0.71508756,Perlmutter first
Ag111,acetaldehyde,pbe_d3,relaxed,-0.98,-0.98083917,Perlmutter first
Ag111,ethene,pbe,relaxed,-0.72,-0.72197729,Perlmutter first
Ag111,ethene,pbe,SPE,-0.034,-0.68802556,Perlmutter first
Ag111,ethene,pbe_d3,relaxed,-1.09,-1.08854019,Perlmutter first
Ag111,ethene,pbe_d3,SPE,-0.184,-0.78875584,Perlmutter first
Ag111,ethene,r2scan,SPE,-0.062,-1.15746976,Perlmutter first
Ag111,formaldehyde,pbe,relaxed,-0.72,-0.71923060,Perlmutter first
Ag111,formaldehyde,pbe_d3,relaxed,-0.90,-0.90176020,Perlmutter first
Ag111,formic_acid,pbe_d3,relaxed,-1.14,-1.13880721,Perlmutter first
Ag111,methane,pbe,relaxed,-0.70,-0.70133144,Perlmutter first
Ag111,methane,pbe_d3,relaxed,-0.86,-0.86482395,Perlmutter first
Ag111,methanol,pbe,relaxed,-0.79,-0.78792568,Perlmutter first
Ag111,methanol,pbe_d3,relaxed,-1.09,-1.09153979,Perlmutter first
Au111,CH3,pbe,relaxed,-1.28,-1.27944554,Perlmutter first
Au111,CH3,r2scan,relaxed,-1.19,-1.19604191,Perlmutter first
Au111,CO,pbe,relaxed,-0.13,-0.12673308,Perlmutter first
Au111,CO,pbe_d3,relaxed,-0.29,-0.28873565,Perlmutter first
Au111,DME,r2scan,SPE,0.417,0.19335503,Perlmutter first
Au111,DME,beef_vdw,SPE,-0.438,-0.37454793,Perlmutter first
Au111,H2O,pbe,relaxed,-0.04,-0.04101729,Perlmutter first
Au111,H2O,pbe_d3,relaxed,-0.30,-0.30130037,Perlmutter first
Au111,H2S,pbe,relaxed,-0.14,-0.14425755,Perlmutter first
Au111,N2,pbe,relaxed,-0.01,-0.00715322,Perlmutter first
Au111,N2,pbe_d3,relaxed,-0.10,-0.09903023,Perlmutter first
Au111,NH3,pbe,relaxed,-0.06,-0.05688692,Perlmutter first
Au111,NH3,pbe_d3,relaxed,-0.31,-0.30609991,Perlmutter first
Au111,NO,pbe,relaxed,-0.66,-0.65798807,Perlmutter first
