role,name,functional,required_composition,required_slab_cell_A,required_potentials,affected_missing_cells,cells
slab,Ag110,pbe,"{""Ag"": 24}","[[12.27, 0.0, 0.0], [0.0, 5.784133470105959, 0.0], [0.0, 0.0, 34.33810010257947]]","{""Ag"": ""PAW_PBE Ag 02Apr2005""}",42,"[[""Ag110"", ""CH3"", ""pbe"", ""SPE""], [""Ag110"", ""CH3"", ""pbe"", ""relaxed""], [""Ag110"", ""CO"", ""pbe"", ""SPE""], [""Ag110"", ""CO"", ""pbe"", ""relaxed""], [""Ag110"", ""CO2"", ""pbe"", ""SPE""], [""Ag110"", ""CO2"", ""pbe"", ""relaxed""], [""Ag110"", ""DME"", ""pbe"", ""SPE""], [""Ag110"", ""DME"", ""pbe"", ""relaxed""], [""Ag110"", ""H2"", ""pbe"", ""SPE""], [""Ag110"", ""H2O"", ""pbe"", ""SPE""], [""Ag110"", ""H2O"", ""pbe"", ""relaxed""], [""Ag110"", ""H2S"", ""pbe"", ""SPE""], [""Ag110"", ""H2S"", ""pbe"", ""relaxed""], [""Ag110"", ""N2"", ""pbe"", ""SPE""], [""Ag110"", ""N2"", ""pbe"", ""relaxed""], [""Ag110"", ""NH3"", ""pbe"", ""SPE""], [""Ag110"", ""NH3"", ""pbe"", ""relaxed""], [""Ag110"", ""NO"", ""pbe"", ""SPE""], [""Ag110"", ""NO"", ""pbe"", ""relaxed""], [""Ag110"", ""O2"", ""pbe"", ""SPE""], [""Ag110"", ""SO2"", ""pbe"", ""SPE""], [""Ag110"", ""SO2"", ""pbe"", ""relaxed""], [""Ag110"", ""acetaldehyde"", ""pbe"", ""SPE""], [""Ag110"", ""acetaldehyde"", ""pbe"", ""relaxed""], [""Ag110"", ""acetic_acid"", ""pbe"", ""SPE""], [""Ag110"", ""acetic_acid"", ""pbe"", ""relaxed""], [""Ag110"", ""ethane"", ""pbe"", ""SPE""], [""Ag110"", ""ethane"", ""pbe"", ""relaxed""], [""Ag110"", ""ethene"", ""pbe"", ""SPE""], [""Ag110"", ""ethene"", ""pbe"", ""relaxed""], [""Ag110"", ""formaldehyde"", ""pbe"", ""SPE""], [""Ag110"", ""formaldehyde"", ""pbe"", ""relaxed""], [""Ag110"", ""formate"", ""pbe"", ""SPE""], [""Ag110"", ""formic_acid"", ""pbe"", ""SPE""], [""Ag110"", ""formic_acid"", ""pbe"", ""relaxed""], [""Ag110"", ""glycerol"", ""pbe"", ""SPE""], [""Ag110"", ""methane"", ""pbe"", ""SPE""], [""Ag110"", ""methane"", ""pbe"", ""relaxed""], [""Ag110"", ""methanol"", ""pbe"", ""SPE""], [""Ag110"", ""methanol"", ""pbe"", ""relaxed""], [""Ag110"", ""propane"", ""pbe"", ""SPE""], [""Ag110"", ""propene"", ""pbe"", ""SPE""]]"
slab,Ag110,pbe_d3,"{""Ag"": 24}","[[12.27, 0.0, 0.0], [0.0, 5.784133470105959, 0.0], [0.0, 0.0, 34.33810010257947]]","{""Ag"": ""PAW_PBE Ag 02Apr2005""}",42,"[[""Ag110"", ""CH3"", ""pbe_d3"", ""SPE""], [""Ag110"", ""CH3"", ""pbe_d3"", ""relaxed""], [""Ag110"", ""CO"", ""pbe_d3"", ""SPE""], [""Ag110"", ""CO"", ""pbe_d3"", ""relaxed""], [""Ag110"", ""CO2"", ""pbe_d3"", ""SPE""], [""Ag110"", ""CO2"", ""pbe_d3"", ""relaxed""], [""Ag110"", ""DME"", ""pbe_d3"", ""SPE""], [""Ag110"", ""DME"", ""pbe_d3"", ""relaxed""], [""Ag110"", ""H2"", ""pbe_d3"", ""SPE""], [""Ag110"", ""H2O"", ""pbe_d3"", ""SPE""], [""Ag110"", ""H2O"", ""pbe_d3"", ""relaxed""], [""Ag110"", ""H2S"", ""pbe_d3"", ""SPE""], [""Ag110"", ""H2S"", ""pbe_d3"", ""relaxed""], [""Ag110"", ""N2"", ""pbe_d3"", ""SPE""], [""Ag110"", ""N2"", ""pbe_d3"", ""relaxed""], [""Ag110"", ""NH3"", ""pbe_d3"", ""SPE""], [""Ag110"", ""NH3"", ""pbe_d3"", ""relaxed""], [""Ag110"", ""NO"", ""pbe_d3"", ""SPE""], [""Ag110"", ""NO"", ""pbe_d3"", ""relaxed""], [""Ag110"", ""O2"", ""pbe_d3"", ""SPE""], [""Ag110"", ""SO2"", ""pbe_d3"", ""SPE""], [""Ag110"", ""SO2"", ""pbe_d3"", ""relaxed""], [""Ag110"", ""acetaldehyde"", ""pbe_d3"", ""SPE""], [""Ag110"", ""acetaldehyde"", ""pbe_d3"", ""relaxed""], [""Ag110"", ""acetic_acid"", ""pbe_d3"", ""SPE""], [""Ag110"", ""acetic_acid"", ""pbe_d3"", ""relaxed""], [""Ag110"", ""ethane"", ""pbe_d3"", ""SPE""], [""Ag110"", ""ethane"", ""pbe_d3"", ""relaxed""], [""Ag110"", ""ethene"", ""pbe_d3"", ""SPE""], [""Ag110"", ""ethene"", ""pbe_d3"", ""relaxed""], [""Ag110"", ""formaldehyde"", ""pbe_d3"", ""SPE""], [""Ag110"", ""formaldehyde"", ""pbe_d3"", ""relaxed""], [""Ag110"", ""formate"", ""pbe_d3"", ""SPE""], [""Ag110"", ""formic_acid"", ""pbe_d3"", ""SPE""], [""Ag110"", ""formic_acid"", ""pbe_d3"", ""relaxed""], [""Ag110"", ""glycerol"", ""pbe_d3"", ""SPE""], [""Ag110"", ""methane"", ""pbe_d3"", ""SPE""], [""Ag110"", ""methane"", ""pbe_d3"", ""relaxed""], [""Ag110"", ""methanol"", ""pbe_d3"", ""SPE""], [""Ag110"", ""methanol"", ""pbe_d3"", ""relaxed""], [""Ag110"", ""propane"", ""pbe_d3"", ""SPE""], [""Ag110"", ""propene"", ""pbe_d3"", ""SPE""]]"
slab,Ag110,beef_vdw,"{""Ag"": 24}","[[12.27, 0.0, 0.0], [0.0, 5.784133470105959, 0.0], [0.0, 0.0, 34.33810010257947]]","{""Ag"": ""PAW_PBE Ag 02Apr2005""}",40,"[[""Ag110"", ""CH3"", ""beef_vdw"", ""SPE""], [""Ag110"", ""CH3"", ""beef_vdw"", ""relaxed""], [""Ag110"", ""CO"", ""beef_vdw"", ""SPE""], [""Ag110"", ""CO"", ""beef_vdw"", ""relaxed""], [""Ag110"", ""CO2"", ""beef_vdw"", ""SPE""], [""Ag110"", ""CO2"", ""beef_vdw"", ""relaxed""], [""Ag110"", ""DME"", ""beef_vdw"", ""SPE""], [""Ag110"", ""DME"", ""beef_vdw"", ""relaxed""], [""Ag110"", ""H2"", ""beef_vdw"", ""SPE""], [""Ag110"", ""H2O"", ""beef_vdw"", ""SPE""], [""Ag110"", ""H2S"", ""beef_vdw"", ""SPE""], [""Ag110"", ""H2S"", ""beef_vdw"", ""relaxed""], [""Ag110"", ""N2"", ""beef_vdw"", ""SPE""], [""Ag110"", ""N2"", ""beef_vdw"", ""relaxed""], [""Ag110"", ""NH3"", ""beef_vdw"", ""SPE""], [""Ag110"", ""NH3"", ""beef_vdw"", ""relaxed""], [""Ag110"", ""NO"", ""beef_vdw"", ""SPE""], [""Ag110"", ""O2"", ""beef_vdw"", ""SPE""], [""Ag110"", ""SO2"", ""beef_vdw"", ""SPE""], [""Ag110"", ""SO2"", ""beef_vdw"", ""relaxed""], [""Ag110"", ""acetaldehyde"", ""beef_vdw"", ""SPE""], [""Ag110"", ""acetaldehyde"", ""beef_vdw"", ""relaxed""], [""Ag110"", ""acetic_acid"", ""beef_vdw"", ""SPE""], [""Ag110"", ""acetic_acid"", ""beef_vdw"", ""relaxed""], [""Ag110"", ""ethane"", ""beef_vdw"", ""SPE""], [""Ag110"", ""ethane"", ""beef_vdw"", ""relaxed""], [""Ag110"", ""ethene"", ""beef_vdw"", ""SPE""], [""Ag110"", ""ethene"", ""beef_vdw"", ""relaxed""], [""Ag110"", ""formaldehyde"", ""beef_vdw"", ""SPE""], [""Ag110"", ""formaldehyde"", ""beef_vdw"", ""relaxed""], [""Ag110"", ""formate"", ""beef_vdw"", ""SPE""], [""Ag110"", ""formic_acid"", ""beef_vdw"", ""SPE""], [""Ag110"", ""formic_acid"", ""beef_vdw"", ""relaxed""], [""Ag110"", ""glycerol"", ""beef_vdw"", ""SPE""], [""Ag110"", ""methane"", ""beef_vdw"", ""SPE""], [""Ag110"", ""methane"", ""beef_vdw"", ""relaxed""], [""Ag110"", ""methanol"", ""beef_vdw"", ""SPE""], [""Ag110"", ""methanol"", ""beef_vdw"", ""relaxed""], [""Ag110"", ""propane"", ""beef_vdw"", ""SPE""], [""Ag110"", ""propene"", ""beef_vdw"", ""SPE""]]"
slab,Ag110,r2scan,"{""Ag"": 24}","[[12.27, 0.0, 0.0], [0.0, 5.784133470105959, 0.0], [0.0, 0.0, 34.33810010257947]]","{""Ag"": ""PAW_PBE Ag 02Apr2005""}",40,"[[""Ag110"", ""CH3"", ""r2scan"", ""SPE""], [""Ag110"", ""CH3"", ""r2scan"", ""relaxed""], [""Ag110"", ""CO"", ""r2scan"", ""SPE""], [""Ag110"", ""CO"", ""r2scan"", ""relaxed""], [""Ag110"", ""CO2"", ""r2scan"", ""SPE""], [""Ag110"", ""CO2"", ""r2scan"", ""relaxed""], [""Ag110"", ""DME"", ""r2scan"", ""SPE""], [""Ag110"", ""DME"", ""r2scan"", ""relaxed""], [""Ag110"", ""H2"", ""r2scan"", ""SPE""], [""Ag110"", ""H2O"", ""r2scan"", ""SPE""], [""Ag110"", ""H2O"", ""r2scan"", ""relaxed""], [""Ag110"", ""H2S"", ""r2scan"", ""SPE""], [""Ag110"", ""H2S"", ""r2scan"", ""relaxed""], [""Ag110"", ""N2"", ""r2scan"", ""SPE""], [""Ag110"", ""N2"", ""r2scan"", ""relaxed""], [""Ag110"", ""NH3"", ""r2scan"", ""SPE""], [""Ag110"", ""NH3"", ""r2scan"", ""relaxed""], [""Ag110"", ""NO"", ""r2scan"", ""SPE""], [""Ag110"", ""NO"", ""r2scan"", ""relaxed""], [""Ag110"", ""O2"", ""r2scan"", ""SPE""], [""Ag110"", ""SO2"", ""r2scan"", ""SPE""], [""Ag110"", ""SO2"", ""r2scan"", ""relaxed""], [""Ag110"", ""acetaldehyde"", ""r2scan"", ""SPE""], [""Ag110"", ""acetaldehyde"", ""r2scan"", ""relaxed""], [""Ag110"", ""acetic_acid"", ""r2scan"", ""SPE""], [""Ag110"", ""acetic_acid"", ""r2scan"", ""relaxed""], [""Ag110"", ""ethane"", ""r2scan"", ""SPE""], [""Ag110"", ""ethene"", ""r2scan"", ""SPE""], [""Ag110"", ""formaldehyde"", ""r2scan"", ""SPE""], [""Ag110"", ""formaldehyde"", ""r2scan"", ""relaxed""], [""Ag110"", ""formate"", ""r2scan"", ""SPE""], [""Ag110"", ""formic_acid"", ""r2scan"", ""SPE""], [""Ag110"", ""formic_acid"", ""r2scan"", ""relaxed""], [""Ag110"", ""glycerol"", ""r2scan"", ""SPE""], [""Ag110"", ""methane"", ""r2scan"", ""SPE""], [""Ag110"", ""methane"", ""r2scan"", ""relaxed""], [""Ag110"", ""methanol"", ""r2scan"", ""SPE""], [""Ag110"", ""methanol"", ""r2scan"", ""relaxed""], [""Ag110"", ""propane"", ""r2scan"", ""SPE""], [""Ag110"", ""propene"", ""r2scan"", ""SPE""]]"
slab,Ag111,pbe,"{""Ag"": 36}","[[8.676200205158938, 0.0, 0.0], [4.338100102579471, 7.513809785987396, 0.0], [0.0, 0.0, 37.08408780295671]]","{""Ag"": ""PAW_PBE Ag 02Apr2005""}",39,"[[""Ag111"", ""CH3"", ""pbe"", ""SPE""], [""Ag111"", ""CH3"", ""pbe"", ""relaxed""], [""Ag111"", ""CO"", ""pbe"", ""SPE""], [""Ag111"", ""CO"", ""pbe"", ""relaxed""], [""Ag111"", ""DME"", ""pbe"", ""SPE""], [""Ag111"", ""DME"", ""pbe"", ""relaxed""], [""Ag111"", ""H2"", ""pbe"", ""SPE""], [""Ag111"", ""H2O"", ""pbe"", ""SPE""], [""Ag111"", ""H2O"", ""pbe"", ""relaxed""], [""Ag111"", ""H2S"", ""pbe"", ""SPE""], [""Ag111"", ""H2S"", ""pbe"", ""relaxed""], [""Ag111"", ""N2"", ""pbe"", ""SPE""], [""Ag111"", ""N2"", ""pbe"", ""relaxed""], [""Ag111"", ""NH3"", ""pbe"", ""SPE""], [""Ag111"", ""NH3"", ""pbe"", ""relaxed""], [""Ag111"", ""NO"", ""pbe"", ""SPE""], [""Ag111"", ""NO"", ""pbe"", ""relaxed""], [""Ag111"", ""O2"", ""pbe"", ""SPE""], [""Ag111"", ""SO2"", ""pbe"", ""SPE""], [""Ag111"", ""SO2"", ""pbe"", ""relaxed""], [""Ag111"", ""acetaldehyde"", ""pbe"", ""SPE""], [""Ag111"", ""acetaldehyde"", ""pbe"", ""relaxed""], [""Ag111"", ""acetic_acid"", ""pbe"", ""SPE""], [""Ag111"", ""acetic_acid"", ""pbe"", ""relaxed""], [""Ag111"", ""ethene"", ""pbe"", ""SPE""], [""Ag111"", ""ethene"", ""pbe"", ""relaxed""], [""Ag111"", ""formaldehyde"", ""pbe"", ""SPE""], [""Ag111"", ""formaldehyde"", ""pbe"", ""relaxed""], [""Ag111"", ""formate"", ""pbe"", ""SPE""], [""Ag111"", ""formic_acid"", ""pbe"", ""SPE""], [""Ag111"", ""formic_acid"", ""pbe"", ""relaxed""], [""Ag111"", ""glycerol"", ""pbe"", ""SPE""], [""Ag111"", ""isopropanol"", ""pbe"", ""SPE""], [""Ag111"", ""methane"", ""pbe"", ""SPE""], [""Ag111"", ""methane"", ""pbe"", ""relaxed""], [""Ag111"", ""methanol"", ""pbe"", ""SPE""], [""Ag111"", ""methanol"", ""pbe"", ""relaxed""], [""Ag111"", ""propane"", ""pbe"", ""SPE""], [""Ag111"", ""propene"", ""pbe"", ""SPE""]]"
slab,Ag100,pbe_d3,"{""Ag"": 36}","[[8.676200205158938, 0.0, 0.0], [0.0, 8.676200205158938, 0.0], [0.0, 0.0, 36.135]]","{""Ag"": ""PAW_PBE Ag 02Apr2005""}",38,"[[""Ag100"", ""CH3"", ""pbe_d3"", ""SPE""], [""Ag100"", ""CH3"", ""pbe_d3"", ""relaxed""], [""Ag100"", ""CO"", ""pbe_d3"", ""SPE""], [""Ag100"", ""CO"", ""pbe_d3"", ""relaxed""], [""Ag100"", ""DME"", ""pbe_d3"", ""SPE""], [""Ag100"", ""DME"", ""pbe_d3"", ""relaxed""], [""Ag100"", ""H2"", ""pbe_d3"", ""SPE""], [""Ag100"", ""H2O"", ""pbe_d3"", ""SPE""], [""Ag100"", ""H2O"", ""pbe_d3"", ""relaxed""], [""Ag100"", ""H2S"", ""pbe_d3"", ""SPE""], [""Ag100"", ""H2S"", ""pbe_d3"", ""relaxed""], [""Ag100"", ""N2"", ""pbe_d3"", ""SPE""], [""Ag100"", ""NH3"", ""pbe_d3"", ""SPE""], [""Ag100"", ""NH3"", ""pbe_d3"", ""relaxed""], [""Ag100"", ""NO"", ""pbe_d3"", ""SPE""], [""Ag100"", ""NO"", ""pbe_d3"", ""relaxed""], [""Ag100"", ""O2"", ""pbe_d3"", ""SPE""], [""Ag100"", ""SO2"", ""pbe_d3"", ""SPE""], [""Ag100"", ""SO2"", ""pbe_d3"", ""relaxed""], [""Ag100"", ""acetaldehyde"", ""pbe_d3"", ""SPE""], [""Ag100"", ""acetaldehyde"", ""pbe_d3"", ""relaxed""], [""Ag100"", ""acetic_acid"", ""pbe_d3"", ""SPE""], [""Ag100"", ""acetic_acid"", ""pbe_d3"", ""relaxed""], [""Ag100"", ""ethene"", ""pbe_d3"", ""SPE""], [""Ag100"", ""ethene"", ""pbe_d3"", ""relaxed""], [""Ag100"", ""formaldehyde"", ""pbe_d3"", ""SPE""], [""Ag100"", ""formaldehyde"", ""pbe_d3"", ""relaxed""], [""Ag100"", ""formate"", ""pbe_d3"", ""SPE""], [""Ag100"", ""formic_acid"", ""pbe_d3"", ""SPE""], [""Ag100"", ""formic_acid"", ""pbe_d3"", ""relaxed""], [""Ag100"", ""isopropanol"", ""pbe_d3"", ""SPE""], [""Ag100"", ""methane"", ""pbe_d3"", ""SPE""], [""Ag100"", ""methane"", ""pbe_d3"", ""relaxed""], [""Ag100"", ""methanol"", ""pbe_d3"", ""SPE""], [""Ag100"", ""methanol"", ""pbe_d3"", ""relaxed""], [""Ag100"", ""propane"", ""pbe_d3"", ""SPE""], [""Ag100"", ""propanol"", ""pbe_d3"", ""SPE""], [""Ag100"", ""propene"", ""pbe_d3"", ""SPE""]]"
slab,Ag111,beef_vdw,"{""Ag"": 36}","[[8.676200205158938, 0.0, 0.0], [4.338100102579471, 7.513809785987396, 0.0], [0.0, 0.0, 37.08408780295671]]","{""Ag"": ""PAW_PBE Ag 02Apr2005""}",38,"[[""Ag111"", ""CH3"", ""beef_vdw"", ""SPE""], [""Ag111"", ""CH3"", ""beef_vdw"", ""relaxed""], [""Ag111"", ""CO"", ""beef_vdw"", ""SPE""], [""Ag111"", ""CO"", ""beef_vdw"", ""relaxed""], [""Ag111"", ""DME"", ""beef_vdw"", ""SPE""], [""Ag111"", ""DME"", ""beef_vdw"", ""relaxed""], [""Ag111"", ""H2"", ""beef_vdw"", ""SPE""], [""Ag111"", ""H2O"", ""beef_vdw"", ""SPE""], [""Ag111"", ""H2O"", ""beef_vdw"", ""relaxed""], [""Ag111"", ""H2S"", ""beef_vdw"", ""SPE""], [""Ag111"", ""H2S"", ""beef_vdw"", ""relaxed""], [""Ag111"", ""N2"", ""beef_vdw"", ""SPE""], [""Ag111"", ""N2"", ""beef_vdw"", ""relaxed""], [""Ag111"", ""NH3"", ""beef_vdw"", ""SPE""], [""Ag111"", ""NH3"", ""beef_vdw"", ""relaxed""], [""Ag111"", ""NO"", ""beef_vdw"", ""SPE""], [""Ag111"", ""NO"", ""beef_vdw"", ""relaxed""], [""Ag111"", ""SO2"", ""beef_vdw"", ""SPE""], [""Ag111"", ""SO2"", ""beef_vdw"", ""relaxed""], [""Ag111"", ""acetaldehyde"", ""beef_vdw"", ""SPE""], [""Ag111"", ""acetaldehyde"", ""beef_vdw"", ""relaxed""], [""Ag111"", ""acetic_acid"", ""beef_vdw"", ""SPE""], [""Ag111"", ""acetic_acid"", ""beef_vdw"", ""relaxed""], [""Ag111"", ""ethene"", ""beef_vdw"", ""SPE""], [""Ag111"", ""ethene"", ""beef_vdw"", ""relaxed""], [""Ag111"", ""formaldehyde"", ""beef_vdw"", ""SPE""], [""Ag111"", ""formaldehyde"", ""beef_vdw"", ""relaxed""], [""Ag111"", ""formate"", ""beef_vdw"", ""SPE""], [""Ag111"", ""formic_acid"", ""beef_vdw"", ""SPE""], [""Ag111"", ""formic_acid"", ""beef_vdw"", ""relaxed""], [""Ag111"", ""glycerol"", ""beef_vdw"", ""SPE""], [""Ag111"", ""isopropanol"", ""beef_vdw"", ""SPE""], [""Ag111"", ""methane"", ""beef_vdw"", ""SPE""], [""Ag111"", ""methane"", ""beef_vdw"", ""relaxed""], [""Ag111"", ""methanol"", ""beef_vdw"", ""SPE""], [""Ag111"", ""methanol"", ""beef_vdw"", ""relaxed""], [""Ag111"", ""propane"", ""beef_vdw"", ""SPE""], [""Ag111"", ""propene"", ""beef_vdw"", ""SPE""]]"
slab,Ag111,pbe_d3,"{""Ag"": 36}","[[8.676200205158938, 0.0, 0.0], [4.338100102579471, 7.513809785987396, 0.0], [0.0, 0.0, 37.08408780295671]]","{""Ag"": ""PAW_PBE Ag 02Apr2005""}",38,"[[""Ag111"", ""CH3"", ""pbe_d3"", ""SPE""], [""Ag111"", ""CH3"", ""pbe_d3"", ""relaxed""], [""Ag111"", ""CO"", ""pbe_d3"", ""SPE""], [""Ag111"", ""CO"", ""pbe_d3"", ""relaxed""], [""Ag111"", ""DME"", ""pbe_d3"", ""SPE""], [""Ag111"", ""DME"", ""pbe_d3"", ""relaxed""], [""Ag111"", ""H2"", ""pbe_d3"", ""SPE""], [""Ag111"", ""H2O"", ""pbe_d3"", ""SPE""], [""Ag111"", ""H2O"", ""pbe_d3"", ""relaxed""], [""Ag111"", ""H2S"", ""pbe_d3"", ""SPE""], [""Ag111"", ""H2S"", ""pbe_d3"", ""relaxed""], [""Ag111"", ""N2"", ""pbe_d3"", ""SPE""], [""Ag111"", ""N2"", ""pbe_d3"", ""relaxed""], [""Ag111"", ""NH3"", ""pbe_d3"", ""SPE""], [""Ag111"", ""NH3"", ""pbe_d3"", ""relaxed""], [""Ag111"", ""NO"", ""pbe_d3"", ""SPE""], [""Ag111"", ""NO"", ""pbe_d3"", ""relaxed""], [""Ag111"", ""SO2"", ""pbe_d3"", ""SPE""], [""Ag111"", ""SO2"", ""pbe_d3"", ""relaxed""], [""Ag111"", ""acetaldehyde"", ""pbe_d3"", ""SPE""], [""Ag111"", ""acetaldehyde"", ""pbe_d3"", ""relaxed""], [""Ag111"", ""acetic_acid"", ""pbe_d3"", ""SPE""], [""Ag111"", ""acetic_acid"", ""pbe_d3"", ""relaxed""], [""Ag111"", ""ethene"", ""pbe_d3"", ""SPE""], [""Ag111"", ""ethene"", ""pbe_d3"", ""relaxed""], [""Ag111"", ""formaldehyde"", ""pbe_d3"", ""SPE""], [""Ag111"", ""formaldehyde"", ""pbe_d3"", ""relaxed""], [""Ag111"", ""formate"", ""pbe_d3"", ""SPE""], [""Ag111"", ""formic_acid"", ""pbe_d3"", ""SPE""], [""Ag111"", ""formic_acid"", ""pbe_d3"", ""relaxed""], [""Ag111"", ""glycerol"", ""pbe_d3"", ""SPE""], [""Ag111"", ""isopropanol"", ""pbe_d3"", ""SPE""], [""Ag111"", ""methane"", ""pbe_d3"", ""SPE""], [""Ag111"", ""methane"", ""pbe_d3"", ""relaxed""], [""Ag111"", ""methanol"", ""pbe_d3"", ""SPE""], [""Ag111"", ""methanol"", ""pbe_d3"", ""relaxed""], [""Ag111"", ""propane"", ""pbe_d3"", ""SPE""], [""Ag111"", ""propene"", ""pbe_d3"", ""SPE""]]"
molecule,CO2,pbe_d3,"{""C"": 1, ""O"": 2}",,"{""C"": ""PAW_PBE C 08Apr2002"", ""O"": ""PAW_PBE O 08Apr2002""}",37,"[[""Ag100"", ""CO2"", ""pbe_d3"", ""SPE""], [""Ag100"", ""CO2"", ""pbe_d3"", ""relaxed""], [""Ag110"", ""CO2"", ""pbe_d3"", ""SPE""], [""Ag110"", ""CO2"", ""pbe_d3"", ""relaxed""], [""Ag111"", ""CO2"", ""pbe_d3"", ""SPE""], [""Ag111"", ""CO2"", ""pbe_d3"", ""relaxed""], [""Au111"", ""CO2"", ""pbe_d3"", ""SPE""], [""Au111"", ""CO2"", ""pbe_d3"", ""relaxed""], [""Cu100"", ""CO2"", ""pbe_d3"", ""SPE""], [""Cu100"", ""CO2"", ""pbe_d3"", ""relaxed""], [""Cu110"", ""CO2"", ""pbe_d3"", ""SPE""], [""Cu110"", ""CO2"", ""pbe_d3"", ""relaxed""], [""Cu111"", ""CO2"", ""pbe_d3"", ""SPE""], [""Ir100"", ""CO2"", ""pbe_d3"", ""SPE""], [""Ir100"", ""CO2"", ""pbe_d3"", ""relaxed""], [""Ir110"", ""CO2"", ""pbe_d3"", ""SPE""], [""Ir110"", ""CO2"", ""pbe_d3"", ""relaxed""], [""Ir111"", ""CO2"", ""pbe_d3"", ""SPE""], [""Ir111"", ""CO2"", ""pbe_d3"", ""relaxed""], [""Pd100"", ""CO2"", ""pbe_d3"", ""SPE""], [""Pd100"", ""CO2"", ""pbe_d3"", ""relaxed""], [""Pd110"", ""CO2"", ""pbe_d3"", ""SPE""], [""Pd110"", ""CO2"", ""pbe_d3"", ""relaxed""], [""Pd111"", ""CO2"", ""pbe_d3"", ""SPE""], [""Pd111"", ""CO2"", ""pbe_d3"", ""relaxed""], [""Pt100"", ""CO2"", ""pbe_d3"", ""SPE""], [""Pt100"", ""CO2"", ""pbe_d3"", ""relaxed""], [""Pt110"", ""CO2"", ""pbe_d3"", ""SPE""], [""Pt110"", ""CO2"", ""pbe_d3"", ""relaxed""], [""Pt111"", ""CO2"", ""pbe_d3"", ""SPE""], [""Pt111"", ""CO2"", ""pbe_d3"", ""relaxed""], [""Rh100"", ""CO2"", ""pbe_d3"", ""SPE""], [""Rh100"", ""CO2"", ""pbe_d3"", ""relaxed""], [""Rh110"", ""CO2"", ""pbe_d3"", ""SPE""], [""Rh110"", ""CO2"", ""pbe_d3"", ""relaxed""], [""Rh111"", ""CO2"", ""pbe_d3"", ""SPE""], [""Rh111"", ""CO2"", ""pbe_d3"", ""relaxed""]]"
molecule,acetic_acid,pbe,"{""C"": 2, ""H"": 4, ""O"": 2}",,"{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001"", ""O"": ""PAW_PBE O 08Apr2002""}",36,"[[""Ag100"", ""acetic_acid"", ""pbe"", ""SPE""], [""Ag100"", ""acetic_acid"", ""pbe"", ""relaxed""], [""Ag110"", ""acetic_acid"", ""pbe"", ""SPE""], [""Ag110"", ""acetic_acid"", ""pbe"", ""relaxed""], [""Ag111"", ""acetic_acid"", ""pbe"", ""SPE""], [""Ag111"", ""acetic_acid"", ""pbe"", ""relaxed""], [""Au111"", ""acetic_acid"", ""pbe"", ""SPE""], [""Au111"", ""acetic_acid"", ""pbe"", ""relaxed""], [""Cu100"", ""acetic_acid"", ""pbe"", ""SPE""], [""Cu100"", ""acetic_acid"", ""pbe"", ""relaxed""], [""Cu110"", ""acetic_acid"", ""pbe"", ""SPE""], [""Cu110"", ""acetic_acid"", ""pbe"", ""relaxed""], [""Cu111"", ""acetic_acid"", ""pbe"", ""SPE""], [""Cu111"", ""acetic_acid"", ""pbe"", ""relaxed""], [""Ir100"", ""acetic_acid"", ""pbe"", ""SPE""], [""Ir100"", ""acetic_acid"", ""pbe"", ""relaxed""], [""Ir110"", ""acetic_acid"", ""pbe"", ""SPE""], [""Ir110"", ""acetic_acid"", ""pbe"", ""relaxed""], [""Ir111"", ""acetic_acid"", ""pbe"", ""SPE""], [""Ir111"", ""acetic_acid"", ""pbe"", ""relaxed""], [""Pd100"", ""acetic_acid"", ""pbe"", ""SPE""], [""Pd100"", ""acetic_acid"", ""pbe"", ""relaxed""], [""Pd110"", ""acetic_acid"", ""pbe"", ""SPE""], [""Pd110"", ""acetic_acid"", ""pbe"", ""relaxed""], [""Pd111"", ""acetic_acid"", ""pbe"", ""SPE""], [""Pd111"", ""acetic_acid"", ""pbe"", ""relaxed""], [""Pt100"", ""acetic_acid"", ""pbe"", ""SPE""], [""Pt100"", ""acetic_acid"", ""pbe"", ""relaxed""], [""Pt110"", ""acetic_acid"", ""pbe"", ""SPE""], [""Pt110"", ""acetic_acid"", ""pbe"", ""relaxed""], [""Rh100"", ""acetic_acid"", ""pbe"", ""SPE""], [""Rh100"", ""acetic_acid"", ""pbe"", ""relaxed""], [""Rh110"", ""acetic_acid"", ""pbe"", ""SPE""], [""Rh110"", ""acetic_acid"", ""pbe"", ""relaxed""], [""Rh111"", ""acetic_acid"", ""pbe"", ""SPE""], [""Rh111"", ""acetic_acid"", ""pbe"", ""relaxed""]]"
